type,id,lat,lon
household,0,50.866404,3.001818
household,1,50.806866,4.405329
household,2,51.054726,4.628679
household,3,50.867440,4.377270
household,5,50.757790,5.463958
household,6,50.813433,4.324834
household,7,50.983431,3.707267
household,8,51.217602,3.220080
household,10,51.317760,4.982845
household,11,51.191087,5.117065
household,12,51.268764,3.569126
household,13,51.032835,5.331191
household,14,50.829002,3.264406
household,15,50.883257,4.293347
household,16,51.088593,3.720577
household,17,50.867440,4.377270
household,18,51.216585,4.413545
household,19,50.942202,4.249104
household,20,51.249753,4.497706
household,21,50.880858,4.322789
household,22,51.164308,5.163146
household,23,50.807144,3.838569
household,24,50.964094,3.953104
household,25,51.072384,5.552933
household,26,50.946649,5.175029
household,27,51.141421,4.914067
household,29,51.216585,4.413545
household,30,51.027507,3.963849
household,31,50.998182,3.886012
household,32,51.248130,4.575935
household,33,51.216585,4.413545
household,34,50.852201,4.330328
household,35,50.786373,4.275858
household,37,50.989742,4.554328
household,38,51.050978,3.721264
household,39,50.841526,4.433705
household,40,50.878499,5.491983
household,41,50.867440,4.377270
household,42,50.969918,5.709792
household,43,51.410397,5.010683
household,44,50.820700,4.444536
household,45,50.806866,4.405329
household,47,51.161359,4.670562
household,49,51.021885,4.845377
household,50,51.217602,3.220080
household,51,50.786373,4.275858
household,52,51.007425,4.277043
household,53,51.050978,3.721264
household,55,50.913879,4.702254
household,56,50.811156,2.989055
household,57,51.321651,4.937558
household,58,51.153017,4.302544
household,59,50.896451,5.658845
household,60,50.830144,4.340218
household,61,51.233685,4.937155
household,62,51.314730,4.887680
household,63,51.050978,3.721264
household,64,51.307570,3.138132
household,65,51.216585,4.413545
household,66,50.962986,4.656247
household,67,50.901716,4.238901
household,68,50.880858,4.322789
household,69,50.874792,4.470324
household,70,50.866981,4.711928
household,71,51.321651,4.937558
household,72,51.139451,4.756489
household,73,51.007425,4.277043
household,74,51.138986,3.716198
household,75,51.216585,4.413545
household,76,50.943401,3.138765
household,77,50.977050,4.472901
household,78,50.998182,3.886012
household,79,51.134054,4.384474
household,81,51.156011,4.133301
household,82,51.164332,4.835479
household,83,51.292270,4.494190
household,84,50.883257,4.293347
household,85,50.791185,3.370427
household,86,50.857271,5.410653
household,87,50.827310,3.449589
household,88,50.807263,5.595156
household,89,51.050978,3.721264
household,90,50.773810,4.534750
household,91,50.962986,4.656247
household,92,51.307570,3.138132
household,93,50.852594,4.237046
household,94,50.863381,4.330338
household,95,51.050978,3.721264
household,96,51.216585,4.413545
household,97,50.867440,4.377270
household,98,50.867440,4.377270
household,99,50.933809,4.369456
household,100,51.210269,5.422538
household,101,51.239850,5.112690
household,102,51.191087,5.117065
household,104,50.833489,4.297707
household,105,50.872987,4.309333
household,107,51.173469,3.934284
household,108,51.139451,4.756489
household,109,50.813433,4.324834
household,110,50.867002,3.566255
household,111,50.935352,4.282594
household,112,51.052648,3.554147
household,113,51.322975,4.385294
household,114,50.923445,4.891601
household,115,51.348060,4.760540
household,116,51.249753,4.497706
household,117,51.032835,5.331191
household,118,51.216585,4.413545
household,119,50.849977,4.369235
household,120,50.943428,4.013608
household,122,51.216585,4.413545
household,123,50.786373,4.275858
household,124,51.153017,4.302544
household,125,50.998182,3.886012
household,126,51.382980,4.475180
household,127,51.050978,3.721264
household,129,51.118040,4.657520
household,130,51.067591,3.093043
household,131,51.053943,3.994889
household,132,50.882251,4.061721
household,134,51.216585,4.413545
household,135,51.025346,4.474594
household,136,50.964094,3.953104
household,137,51.025346,4.474594
household,138,51.005794,4.632042
household,139,51.044746,5.434320
household,140,51.001264,4.972455
household,141,50.961903,4.437266
household,142,50.808808,3.765395
household,143,50.890980,4.561821
household,144,51.169116,4.466249
household,145,51.216585,4.413545
household,147,50.866981,4.711928
household,148,51.416774,4.770539
household,149,50.866981,4.711928
household,150,51.322975,4.385294
household,151,51.229440,5.444358
household,152,50.883257,4.293347
household,153,50.779746,3.897800
household,154,50.904994,4.435529
household,155,50.866981,4.711928
household,156,51.176858,4.179892
household,158,51.050978,3.721264
household,159,50.868885,3.261465
household,160,50.987361,4.966347
household,161,50.950798,4.067507
household,162,50.997647,4.116014
household,163,50.837213,5.328759
household,164,50.969918,5.709792
household,165,50.830144,4.340218
household,166,51.138934,3.412772
household,167,51.207085,4.649790
household,168,50.950798,4.067507
household,169,50.901716,4.238901
household,170,50.786373,4.275858
household,171,51.074687,4.791786
household,172,50.949050,3.894355
household,173,50.896451,5.658845
household,174,50.830144,4.340218
household,176,51.004689,3.940414
household,177,50.943401,3.138765
household,178,50.961903,4.437266
household,179,50.829002,3.264406
household,180,50.920276,3.599189
household,181,51.092285,3.618605
household,182,51.239850,5.112690
household,183,51.059755,2.675109
household,184,51.156643,2.982255
household,185,51.184321,4.739567
household,186,50.786573,4.813092
household,188,50.829002,3.264406
household,190,50.867440,4.377270
household,191,50.830265,3.532113
household,192,51.141421,4.914067
household,193,50.913879,4.702254
household,194,51.205052,3.483322
household,195,51.266966,5.084251
household,196,51.216585,4.413545
household,197,50.786373,4.275858
household,198,50.841526,4.433705
household,199,50.808060,5.192988
household,200,50.779746,3.897800
household,201,51.337679,3.272221
household,203,51.075166,4.729765
household,204,50.864680,3.308443
household,205,50.830144,4.340218
household,206,50.773810,4.534750
household,207,51.032835,5.331191
household,208,50.892835,4.022327
household,209,51.393090,4.447093
household,211,51.216585,4.413545
household,212,51.216585,4.413545
household,213,50.867440,4.377270
household,214,51.416774,4.770539
household,215,51.393090,4.447093
household,217,50.867440,4.377270
household,218,50.734814,4.234148
household,219,50.932460,5.301307
household,220,50.813433,4.324834
household,221,51.337679,3.272221
household,222,50.802398,4.340670
household,223,51.025346,4.474594
household,224,51.050978,3.721264
household,226,50.841526,4.433705
household,227,51.089794,5.730321
household,228,50.847537,4.139768
household,229,51.386004,4.688983
household,230,50.836959,4.408096
household,231,51.216585,4.413545
household,232,51.050978,3.721264
household,233,50.956832,4.723360
household,234,50.839061,3.326051
household,235,50.902045,4.114406
household,236,50.989198,4.731576
household,237,50.882251,4.061721
household,238,50.826803,4.682178
household,239,50.785386,4.246852
household,240,51.022197,4.548032
household,241,51.174334,4.572384
household,242,51.113852,5.240347
household,243,51.027707,3.143909
household,244,51.050978,3.721264
household,246,51.067591,3.093043
household,248,51.216585,4.413545
household,250,51.348060,4.760540
household,251,50.932460,5.301307
household,252,51.050978,3.721264
household,254,50.866683,3.155409
household,255,51.050978,3.721264
household,256,50.961720,2.774358
household,257,51.134054,4.384474
household,258,50.865782,4.292598
household,260,50.825072,3.182742
household,262,50.832108,4.140710
household,263,51.152052,3.345590
household,264,50.932460,5.301307
household,265,51.138986,3.716198
household,266,51.090114,4.413471
household,267,51.154004,4.471151
household,268,50.867440,4.377270
household,269,51.060271,4.564717
household,271,51.138934,3.412772
household,272,50.792769,3.147125
household,273,51.165182,2.820398
household,274,50.786373,4.275858
household,275,50.926951,4.776201
household,276,50.808060,5.192988
household,277,50.792769,3.147125
household,278,50.854229,3.639591
household,279,50.998317,4.789850
household,280,51.025346,4.474594
household,282,50.989338,4.417373
household,283,51.438701,4.451692
household,285,50.813433,4.324834
household,286,51.122663,4.207546
household,287,50.923424,3.955145
household,288,51.135790,3.146939
household,289,51.054909,4.354494
household,290,50.829002,3.264406
household,292,50.883257,4.293347
household,293,50.802398,4.340670
household,294,50.807263,5.595156
household,295,51.266966,5.084251
household,296,50.852201,4.330328
household,297,51.007425,4.277043
household,298,50.792769,3.147125
household,299,50.941617,3.413219
household,300,50.826803,4.682178
household,301,50.943401,3.138765
household,302,50.847537,4.139768
household,303,51.089951,4.914340
