id,province,population,x_coord,y_coord,latitude,longitude,name
0,0,2138551,0,0,48.8566101,2.3514992,Paris
1,0,794811,0,0,43.2961743,5.3699525,Marseille
2,0,472317,0,0,45.7578137,4.8320114,Lyon
3,0,433055,0,0,43.6044622,1.4442469,Toulouse
4,0,338620,0,0,43.7009358,7.2683912,Nice
5,0,277269,0,0,47.2186371,-1.5541362,Nantes
6,0,274845,0,0,48.584614,7.7507127,Strasbourg
7,0,248252,0,0,43.6112422,3.8767337,Montpellier
8,0,231844,0,0,44.841225,-0.5800364,Bordeaux
9,0,228328,0,0,50.6305089,3.0706414,Lille
10,0,209375,0,0,48.1113387,-1.6800198,Rennes
11,0,196565,0,0,49.2577886,4.031926,Reims
12,0,185972,0,0,49.4938975,0.1079732,Le Havre
13,0,183430,0,0,49.0527528,2.0388736,Cergy-Pontoise
14,0,176280,0,0,45.4401467,4.3873058,Saint-Etienne
15,0,168701,0,0,43.1257311,5.9304919,Toulon
16,0,168279,0,0,47.4739884,-0.5515588,Angers
17,0,158552,0,0,45.182151,5.7274722,Grenoble
18,0,149782,0,0,47.3215806,5.0414701,Dijon
19,0,148236,0,0,43.8374249,4.3600687,Nimes
20,0,146821,0,0,43.5298424,5.4474738,Aix-en-Provence
21,0,146598,0,0,48.7818613,2.0159521187,Saint-Quentin-en-Yvelines
22,0,144899,0,0,48.3905283,-4.4860088,Brest
23,0,144515,0,0,48.0078497,0.1997933,Le Mans
24,0,143086,0,0,49.8941708,2.2956951,Amiens
25,0,141621,0,0,47.3900474,0.6889268,Tours
26,0,141176,0,0,45.8354243,1.2644847,Limoges
27,0,138681,0,0,45.7774551,3.0819427,Clermont-Ferrand
28,0,131445,0,0,45.7733105,4.8869339,Villeurbanne
29,0,128426,0,0,47.237953,6.0243246,Besancon
30,0,124149,0,0,47.9027336,1.9086066,Orleans
31,0,123914,0,0,49.1196964,6.1763552,Metz
32,0,112787,0,0,49.4404591,1.0939658,Rouen
33,0,111430,0,0,47.7494188,7.3399355,Mulhouse
34,0,110706,0,0,42.6953868,2.8844713,Perpignan
35,0,110624,0,0,49.1828008,-0.3690815,Caen
36,0,108782,0,0,48.8356649,2.240206,Boulogne-Billancourt
37,0,105334,0,0,48.6937223,6.1834097,Nancy
38,0,101475,0,0,48.9479069,2.2481797,Argenteuil
39,0,96128,0,0,48.935773,2.3580232,Saint-Denis
40,0,95721,0,0,50.6915893,3.1741734,Roubaix
41,0,91574,0,0,50.7217304,3.1593082,Tourcoing
42,0,90652,0,0,50.4638918,1.7631125,Montreuil
43,0,89769,0,0,43.9493143,4.8060329,Avignon
44,0,89316,0,0,43.2961743,5.3699525,Marseille 13
45,0,86742,0,0,48.9105948,2.2890454,Asnieres-sur-Seine
46,0,86719,0,0,48.8924273,2.2071267,Nanterre
47,0,85960,0,0,46.5802596,0.340196,Poitiers
48,0,85416,0,0,48.8035403,2.1266886,Versailles
49,0,85158,0,0,48.8953328,2.2561602,Courbevoie
50,0,84833,0,0,48.7830727,2.4518371,Creteil
51,0,82697,0,0,43.2957547,-0.3685668,Pau
52,0,82300,0,0,48.922788,2.2543577,Colombes
53,0,81001,0,0,48.8006139,2.4024811,Vitry-sur-Seine
54,0,80615,0,0,48.934231,2.499789,Aulnay-sous-Bois
55,0,78837,0,0,43.2961743,5.3699525,Marseille 08
56,0,77770,0,0,43.3408941,5.3612168,Marseille 15
57,0,76868,0,0,43.2961743,5.3699525,Marseille 09
58,0,76810,0,0,46.1591126,-1.1520434,La Rochelle
59,0,76726,0,0,48.8183035,2.5146966,Champigny-sur-Marne
60,0,76616,0,0,48.8693888,2.1808837,Rueil-Malmaison
61,0,76393,0,0,43.5836,7.10905,Antibes
62,0,75402,0,0,48.8005783,2.4949924,Saint-Maur-des-Fosses
63,0,74433,0,0,50.9488,1.87468,Calais
64,0,74081,0,0,43.341279,3.2166203,Beziers
65,0,71287,0,0,51.0347708,2.3772525,Dunkerque
