type,id,lat,lon
household,0,50.977323,4.129315
household,1,51.234502,2.972836
household,2,50.827029,4.006854
household,3,50.919296,3.211383
household,4,50.753064,4.300755
household,5,51.322975,4.385294
household,6,51.084088,4.474742
household,7,50.779746,3.897800
household,8,51.048734,5.212648
household,9,51.050978,3.721264
household,10,51.164308,5.163146
household,11,50.932460,5.301307
household,12,50.863221,4.424664
household,13,50.831313,5.112466
household,14,50.880858,4.322789
household,15,51.087373,2.595973
household,16,50.860794,4.359420
household,17,51.337679,3.272221
household,18,51.222165,3.102839
household,19,50.916933,4.037610
household,20,50.876090,5.307670
household,21,50.838786,4.850234
household,22,50.753064,4.300755
household,23,51.216585,4.413545
household,24,50.816406,4.426518
household,25,51.102341,3.994066
household,26,50.864759,4.424509
household,27,50.852594,4.237046
household,28,51.216585,4.413545
household,29,51.025346,4.474594
household,30,51.132190,5.077080
household,31,51.216585,4.413545
household,32,51.181816,3.107322
household,33,50.785386,4.246852
household,34,51.089951,4.914340
household,35,51.169116,4.466249
household,36,50.880858,4.322789
household,37,50.852594,4.237046
household,38,50.808060,5.192988
household,39,50.922217,4.619991
household,40,50.866647,5.534755
household,41,51.171384,4.203774
household,42,50.853833,2.869429
household,43,50.816406,4.426518
household,44,50.858016,4.373574
household,45,50.867416,4.166684
household,46,51.173469,3.934284
household,47,50.827310,3.449589
household,48,50.836959,4.408096
household,49,51.208071,2.902446
household,50,50.785386,4.246852
household,51,50.933809,4.369456
household,52,51.050978,3.721264
household,53,50.779746,3.897800
household,54,51.141421,4.914067
household,55,50.760822,4.393112
household,56,50.941127,4.979922
household,57,50.884525,4.810672
household,58,51.260212,4.837268
household,59,51.161359,4.670562
household,60,51.216585,4.413545
household,61,50.867440,4.377270
household,62,50.862441,4.338235
household,63,50.779746,3.897800
household,64,51.216585,4.413545
household,65,51.048734,5.212648
household,66,50.734814,4.234148
household,67,50.833489,4.297707
household,68,51.156643,2.982255
household,69,50.949953,3.636066
household,70,50.962986,4.656247
household,71,50.723970,3.365681
household,72,51.229818,4.510897
household,73,50.890666,3.361587
household,74,51.164332,4.835479
household,75,50.880858,4.322789
household,76,51.391873,4.604601
household,77,50.867440,4.377270
household,78,51.239850,5.112690
household,79,50.969918,5.709792
household,80,51.171384,4.203774
household,81,50.951876,3.872972
household,82,51.050978,3.721264
household,83,50.915958,4.499584
household,84,51.208071,2.902446
household,85,51.229440,5.444358
household,86,51.099805,3.863399
household,87,51.216585,4.413545
household,88,50.957768,5.109484
household,89,50.807771,5.332348
household,90,51.175671,4.941107
household,91,50.871073,3.810389
household,92,50.938305,3.464805
household,93,50.919296,3.211383
household,94,50.833489,4.297707
household,95,50.859411,4.622253
household,96,51.053943,3.994889
household,97,51.054726,4.628679
household,98,51.156643,2.982255
household,99,51.317760,4.982845
household,100,50.829002,3.264406
household,101,51.135613,3.304355
household,102,50.856492,4.642779
household,103,51.231109,3.714369
household,104,51.070852,4.258855
household,105,50.853970,3.287000
household,106,51.228008,3.307380
household,107,51.205052,3.483322
household,108,50.884516,3.277189
household,109,51.077700,4.503810
household,110,51.149016,2.769142
household,111,51.164800,3.152328
household,112,50.847537,4.139768
household,113,50.750537,3.600509
household,114,51.337679,3.272221
household,115,51.086999,4.022810
household,116,51.216585,4.413545
household,117,50.852594,4.237046
household,118,50.827310,3.449589
household,119,51.216585,4.413545
household,120,50.969918,5.709792
household,121,50.860794,4.359420
household,122,50.792769,3.147125
household,123,51.006385,3.992343
household,124,51.240851,3.112815
household,125,50.853286,4.333405
household,126,51.007425,4.277043
household,127,50.760822,4.393112
household,128,51.211199,4.336818
household,129,50.846622,4.622720
household,130,50.953901,5.155228
household,131,51.050978,3.721264
household,132,50.846622,4.622720
household,133,50.989313,5.363571
household,134,50.836959,4.408096
household,135,51.050978,3.721264
household,136,50.734814,4.234148
household,137,50.905036,4.654276
household,138,50.890666,3.361587
household,139,51.216585,4.413545
household,140,51.064964,3.410563
household,141,51.102341,3.994066
household,142,51.032835,5.331191
household,143,50.991340,3.530216
household,144,50.807771,5.332348
household,145,51.216585,4.413545
household,146,50.860794,4.359420
household,147,50.826803,4.682178
household,148,51.112102,3.019751
household,149,50.941615,3.795825
household,150,50.827310,3.449589
household,151,50.932460,5.301307
household,152,50.989742,4.554328
household,153,51.206690,3.625257
household,154,50.882771,4.474272
household,155,50.860794,4.359420
household,156,50.905036,4.654276
household,157,51.207601,4.122370
household,158,50.963035,4.119666
household,159,50.829002,3.264406
household,160,51.013676,4.201126
household,161,50.989742,4.554328
household,162,51.160448,3.166020
household,163,50.863381,4.330338
household,164,50.915958,4.499584
household,165,51.410397,5.010683
household,166,51.050978,3.721264
household,167,51.260212,4.837268
household,168,50.998182,3.886012
household,169,51.086080,4.366330
household,170,50.753064,4.300755
household,171,51.050978,3.721264
household,172,50.949953,3.636066
household,173,51.013676,4.201126
household,174,50.890316,3.401282
household,175,51.181816,3.107322
household,176,51.216585,4.413545
household,177,51.314730,4.887680
household,178,51.175671,4.941107
household,179,51.174689,3.016720
household,180,50.788874,4.378488
household,181,51.086999,4.022810
household,182,50.863381,4.330338
household,183,51.228008,3.307380
household,184,50.732319,4.417364
household,185,50.856492,4.642779
household,186,50.949953,3.636066
household,187,50.829002,3.264406
household,188,50.860794,4.359420
household,189,51.132018,5.795878
household,190,50.978940,2.672045
household,191,51.156011,4.133301
household,192,50.867440,4.377270
household,193,50.801277,5.471207
household,194,50.876090,5.307670
household,195,51.230419,5.311006
household,196,51.048734,5.212648
household,197,51.109554,2.671078
household,198,51.216585,4.413545
household,199,50.998182,3.886012
household,200,50.785386,4.246852
household,201,51.149016,2.769142
household,202,51.239850,5.112690
household,203,50.830144,4.340218
household,204,51.050978,3.721264
household,205,50.873868,3.887470
household,206,51.127272,4.496760
household,207,51.046303,3.800849
household,208,50.732319,4.417364
household,209,51.067591,3.093043
household,210,50.765917,4.475015
household,211,51.152052,3.345590
household,212,51.216585,4.413545
household,213,51.099805,3.863399
household,214,50.982447,5.075705
household,215,50.899754,3.833625
household,216,51.053943,3.994889
household,217,50.860794,4.359420
household,218,51.050978,3.721264
household,219,50.919296,3.211383
household,220,50.852594,4.237046
household,221,51.073214,3.043467
household,222,50.932460,5.301307
household,223,50.827056,4.372308
household,224,50.969918,5.709792
household,225,51.025346,4.474594
household,226,50.772256,3.128320
household,227,51.054909,4.354494
household,228,50.753064,4.300755
household,229,50.834632,3.705651
household,230,50.876090,5.307670
household,231,50.750537,3.600509
household,232,51.156011,4.133301
household,233,51.122663,4.207546
household,234,50.785386,4.246852
household,235,50.867440,4.377270
household,236,50.827056,4.372308
household,237,50.896451,5.658845
household,238,50.873868,3.887470
household,239,51.007425,4.277043
household,240,51.230419,5.311006
household,241,50.833489,4.297707
household,242,50.890316,3.401282
household,243,51.156011,4.133301
household,244,51.152052,3.345590
household,245,51.109461,4.084474
household,246,50.919296,3.211383
household,247,50.979603,5.509619
household,248,50.899754,3.833625
household,249,51.416774,4.770539
household,250,50.860794,4.359420
household,251,50.807738,4.938814
household,252,51.050978,3.721264
household,253,50.963035,4.119666
household,254,50.836959,4.408096
household,255,50.827056,4.372308
household,256,51.382980,4.475180
household,257,51.216585,4.413545
household,258,50.927253,4.425784
household,259,51.210269,5.422538
household,260,51.216585,4.413545
household,261,51.292270,4.494190
household,262,51.173469,3.934284
household,263,51.267571,3.061775
household,264,50.760822,4.393112
household,265,51.138986,3.716198
household,266,51.027077,4.099514
household,267,50.932460,5.301307
household,268,51.160448,3.166020
household,269,50.910320,4.300923
household,270,51.216585,4.413545
household,271,51.239850,5.112690
household,272,51.216585,4.413545
household,273,50.833489,4.297707
household,274,51.211199,4.336818
household,275,50.867002,3.566255
household,276,50.827029,4.006854
household,277,51.255174,4.660247
household,278,51.078210,4.292748
household,279,50.827056,4.372308
household,280,51.216585,4.413545
household,281,50.852594,4.237046
household,282,51.071770,4.442821
household,283,51.216585,4.413545
household,284,51.030065,2.990220
household,285,51.126839,3.555470
household,286,51.068052,4.544616
household,287,50.932460,5.301307
household,288,51.042764,2.852586
household,289,51.126166,4.647609
household,290,50.884525,4.810672
household,291,50.989198,4.731576
household,292,51.050978,3.721264
household,293,51.262197,4.656807
household,294,51.229440,5.444358
household,295,51.167752,5.394325
household,296,51.321651,4.937558
household,297,50.769233,4.394892
household,298,50.871052,4.108528
household,299,50.779746,3.897800
household,300,51.315020,4.840265
household,301,51.132018,5.795878
household,302,50.734814,4.234148
household,303,51.208071,2.902446
household,304,51.160448,3.166020
household,305,50.846622,4.622720
household,306,51.083921,4.144392
household,307,50.846622,4.622720
household,308,50.750537,3.600509
household,309,50.867416,4.166684
household,310,51.202525,4.770883
household,311,50.829002,3.264406
household,312,50.779746,3.897800
household,313,50.792769,3.147125
household,314,50.858016,4.373574
household,315,51.068052,4.544616
household,316,51.207601,4.122370
household,317,50.922796,4.652109
household,318,51.255174,4.660247
household,319,51.004328,4.825603
household,320,50.890666,3.361587
household,321,50.760822,4.393112
household,322,51.230419,5.311006
household,323,51.138986,3.716198
household,324,50.891156,5.198765
household,325,50.830144,4.340218
household,326,51.122663,4.207546
household,327,50.983431,3.707267
household,328,51.027077,4.099514
household,329,51.050978,3.721264
household,330,51.238692,4.319660
household,331,50.899627,3.528972
household,332,50.838786,4.850234
household,333,51.005794,4.632042
household,334,51.050978,3.721264
household,335,51.216585,4.413545
household,336,50.890316,3.401282
household,337,51.216585,4.413545
household,338,51.160824,4.510385
household,339,50.753064,4.300755
household,340,50.989313,5.363571
household,341,51.025346,4.474594
household,342,50.833489,4.297707
household,343,51.231109,3.714369
household,344,51.050978,3.721264
household,345,51.216585,4.413545
household,346,50.872144,4.537657
household,347,50.866404,3.001818
household,348,51.255827,3.128156
household,349,50.851217,4.986584
household,350,51.122663,4.207546
household,351,50.911212,4.339434
household,352,51.099805,3.863399
household,353,50.867440,4.377270
household,354,51.156011,4.133301
household,355,50.943401,3.138765
household,356,51.267571,3.061775
household,357,51.122663,4.207546
household,358,50.779746,3.897800
household,359,51.216585,4.413545
household,360,50.759827,4.518652
household,361,51.248130,4.575935
household,362,50.864759,4.424509
household,363,51.228008,3.307380
household,364,51.132018,5.795878
household,365,50.779016,4.084772
household,366,50.860794,4.359420
household,367,51.238666,3.317333
household,368,50.979603,5.509619
household,369,50.827029,4.006854
household,370,51.229818,4.510897
household,371,51.090114,4.413471
household,372,51.202168,4.521965
household,373,50.871073,3.810389
household,374,50.838757,3.693519
