age,household_id,school_id,work_id,primary_community,secundary_community
46,115797,0,9465,581,512
38,20394,0,8696,517,277
33,121680,0,4772,124,597
3,72839,1189,0,207,291
4,157445,1178,0,49,49
50,54279,0,8018,454,244
48,33739,0,2892,137,98
21,76391,2378,0,384,448
36,13035,0,0,431,554
34,128468,0,0,234,357
74,112638,0,0,228,490
11,20181,1701,0,61,272
57,176888,0,0,569,569
42,146197,0,13992,20,504
54,63942,0,8391,590,137
70,102509,0,0,299,358
17,176202,1798,0,431,522
23,89586,0,2114,3,211
53,174903,0,6209,269,564
36,58584,0,0,492,386
78,40980,0,0,573,573
46,101568,0,10376,293,431
41,18828,0,0,103,103
16,45247,1865,0,481,63
4,138483,1303,0,97,343
30,88622,0,7126,45,46
40,190935,0,833,8,8
13,28380,1843,0,465,417
4,56801,1397,0,18,398
65,28627,0,0,307,208
44,75287,0,2534,123,495
42,43566,0,11940,138,411
2,40147,0,0,29,29
55,8432,0,0,108,97
29,22062,0,5014,577,508
14,173248,1880,0,431,431
26,186597,0,11668,450,398
7,157895,1774,0,85,512
1,158852,0,0,280,279
13,13192,1895,0,468,541
10,190374,1429,0,370,393
43,95263,0,526,441,272
26,49169,0,1665,24,24
50,117326,0,12963,292,292
61,46970,0,0,56,38
6,1650,1515,0,493,336
37,73330,0,11111,8,226
48,14305,0,9828,154,120
70,109079,0,0,40,338
2,115544,722,0,495,24
9,164770,1766,0,279,153
12,125918,1843,0,532,573
45,98486,0,6270,461,372
14,185361,1792,0,286,199
25,87794,0,1536,33,23
32,137088,0,6853,428,103
45,123077,0,4006,132,433
41,133792,0,0,493,407
1,35281,1037,0,556,156
3,93580,1267,0,112,274
13,146400,1906,0,174,281
4,63386,1182,0,11,234
53,151072,0,13764,306,353
30,149858,0,5048,347,8
7,114411,1615,0,292,132
5,4064,1215,0,315,225
35,119007,0,10653,551,513
15,157858,1902,0,477,477
46,163052,0,733,239,458
11,49129,1670,0,39,497
41,93368,0,15033,90,258
32,12794,0,0,93,184
41,155534,0,9045,185,185
39,129714,0,548,258,482
43,100940,0,5080,203,203
37,109258,0,0,337,299
54,104393,0,10791,432,572
76,140053,0,0,445,166
53,69039,0,7412,559,430
